canonical_id,canonical_title,canonical_author,canonical_year,n_rows,n_voters,source_olids,derived_from
OL:OL20867W,Middlemarch,George Eliot,1871,86,83,OL20867W;OL24357681W;OL25411286W;OL29850902W;OL30272167W;OL35863440W;OL40545731W,olid_anchor
OL:OL267096W,Anna Karenina,Leo Tolstoy,1877,61,60,OL267096W,olid_anchor
OL:OL86318W,Ulysses,James Joyce,1914,56,56,OL86318W,olid_anchor
OL:OL19350876W,Madame Bovary,Gustave Flaubert,1857,53,52,OL19350876W;OL893707W,olid_anchor
OL:OL50548W,Beloved,Toni Morrison,1987,52,52,OL50548W,olid_anchor
OL:OL34381078W,The Great Gatsby,F. Scott Fitzgerald,1925,49,49,OL34381078W;OL468431W,olid_anchor
OL:OL1190289W,In Search of Lost Time,Marcel Proust,,48,47,OL1190289W;OL27810496W;OL41312771W,olid_anchor
OL:OL39396W,To the Lighthouse,Virginia Woolf,1927,47,46,OL39396W,olid_anchor
OL:OL267171W,War and Peace,Leo Tolstoy,1869,45,45,OL267171W;OL36765642W,olid_anchor
OL:OL102749W,Moby-Dick,Herman Melville,1851,42,41,OL102749W;OL26158026W,olid_anchor
OL:OL274505W,One Hundred Years of Solitude,Gabriel García Márquez,1967,38,38,OL274505W,olid_anchor
OL:OL1095427W,Jane Eyre,Charlotte Brontë,1847,37,37,OL1095427W;OL36754933W,olid_anchor
OL:OL627084W,Lolita,Vladimir Nabokov,1955,36,36,OL627084W,olid_anchor
OL:OL15165350W,Pride and Prejudice,Jane Austen,1710,34,33,OL15165350W;OL66554W,olid_anchor
OL:OL26733889W,Mrs Dalloway,Virginia Woolf,1925,30,30,OL26733889W;OL39349W,olid_anchor
OL:OL190034W,Emma,Jane Austen,1815,29,29,OL190034W;OL20595207M;OL40587389W;OL66513W,olid_anchor
K:696b5912f345,Adventures of Huckleberry Finn,Mark Twain,1884,28,28,,title_author_exact
OL:OL40756300W,Persuasion,Jane Austen,1817,26,26,OL40756300W;OL66544W,olid_anchor
OL:OL14868508W,Bleak House,Charles Dickens,1853,27,26,OL14868508W;OL14868510W;OL40513281W,olid_anchor
OL:OL276365W,The Portrait of a Lady,Henry James,1881,25,25,OL276365W;OL32387936W,olid_anchor
OL:OL44222301W,Don Quixote,Miguel de Cervantes,,24,24,OL44222301W;OL503666W,olid_anchor
OL:OL8721462W,Great Expectations,Charles Dickens,1861,23,23,OL8721462W,olid_anchor
OL:OL21170W,Wuthering Heights,Emily Brontë,1847,23,22,OL21170W;OL21177W,olid_anchor
OL:OL10432709W,The Brothers Karamazov,Fyodor Dostoevsky,1880,22,22,OL10432709W;OL28570167W;OL39092709W;OL39195597W,olid_anchor
OL:OL166894W,Crime and Punishment,Fyodor Dostoevsky,1866,21,20,OL166894W;OL40766966W,olid_anchor
K:3b04f3eef439,Stories of Flannery O'Connor,,,1,20,,title_author_exact
OL:OL495470W,Invisible Man,Ralph Ellison,1952,20,19,OL495470W,olid_anchor
OL:OL1168083W,Nineteen Eighty-Four,George Orwell,1949,19,19,OL1168083W,olid_anchor
K:6b584d1b9428,Stories of Anton Chekhov,,,1,18,,title_author_exact
