canonical_id,canonical_title,canonical_director,resolved_year,n_rows,vote_count
F:83c734e30238,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,261,261
F:b5a06746734d,Vertigo,Alfred Hitchcock,1958,246,246
F:bf6387f2c8ae,Citizen Kane,Orson Welles,1941,216,215
F:b132d89fef53,2001: A Space Odyssey,Stanley Kubrick,1968,192,192
F:9f96298e4d23,Tokyo Story,Yasujirō Ozu,1953,191,191
F:08966bbb6c53,In the Mood for Love,Wong Kar Wai,2000,174,174
F:e2bff7956338,The Godfather,Francis Ford Coppola,1972,142,142
F:325075869126,Beau travail,Claire Denis,1998,134,134
F:653f45346bcc,Mulholland Dr.,David Lynch,2001,128,128
F:69f5bed6f836,Man with a Movie Camera,Dziga Vertov,1929,119,119
F:e4e5d0b8b474,Sunrise: A Song of Two Humans,F.W. Murnau,1927,116,116
F:944ad783759e,Close-up,Abbas Kiarostami,1989,111,111
F:38ccb3d447c3,Singin' in the Rain,"Gene Kelly, Stanley Donen",1951,111,111
F:97b42f962368,Persona,Ingmar Bergman,1966,109,109
F:4178c0f6fbb7,La Règle du jeu,Jean Renoir,1939,102,102
F:03774d8054b0,Seven Samurai,Akira Kurosawa,1954,99,99
F:7fe15b05ccde,Apocalypse Now,Francis Ford Coppola,1979,99,99
F:83ebc8b43c9d,8 1/2,Federico Fellini,1963,96,96
F:29e8c2663329,Mirror,Andrei Tarkovsky,1975,93,93
F:cb689f3e2a97,Cléo from 5 to 7,Agnès Varda,1962,93,93
F:d472058d559a,Taxi Driver,Martin Scorsese,1976,91,91
F:d117472f572e,The Searchers,John Ford,1956,91,91
F:090832505b0f,Meshes of the Afternoon,"Maya Deren, Alexander Hackenschmied",1943,90,90
F:ec7726632ac1,The Passion of Joan of Arc,Carl Th. Dreyer,1927,89,89
F:d1188b34b03c,Do the Right Thing,Spike Lee,1989,88,88
F:813bde6e3053,Au hasard Balthazar,Robert Bresson,1966,82,82
F:75046ffb9b38,Playtime,Jacques Tati,1967,82,82
F:7b5d85393630,À bout de souffle,Jean-Luc Godard,1960,81,81
F:7cdcf0b32a06,Late Spring,Yasujirō Ozu,1949,81,81
F:4acddf379d28,The Night of the Hunter,Charles Laughton,1955,80,80
F:125061f190de,Stalker,Andrei Tarkovsky,1979,79,79
F:cda1a8b3152c,Pather Panchali,Satyajit Ray,1955,79,79
F:6d78c0ecb7e7,Barry Lyndon,Stanley Kubrick,1975,78,78
F:bee09401fa7d,Rashomon,Akira Kurosawa,1950,76,76
F:edfb01f5a9d6,Bicycle Thieves,Vittorio De Sica,1948,76,76
F:cbb0587ba064,Shoah,Claude Lanzmann,1985,74,74
F:02ded6e20b97,The Battle of Algiers,Gillo Pontecorvo,1966,72,72
F:09035fce59e3,Psycho,Alfred Hitchcock,1960,72,72
F:2bcbc58a252d,L'Atalante,Jean Vigo,1934,71,71
F:7dacc043e524,City Lights,Charles Chaplin,1931,68,68
F:d8e24aa1ab58,Ordet,Carl Th. Dreyer,1955,67,67
F:d2ac8fced14e,Daisies,Věra Chytilová,1966,66,66
F:6744994f98f6,Portrait of a Lady on Fire,Céline Sciamma,2019,65,65
F:f44713a09e4d,Some Like It Hot,Billy Wilder,1959,64,64
F:a5083fa04636,The 400 Blows,François Truffaut,1959,64,64
F:59ad7c389a61,GoodFellas,Martin Scorsese,1990,61,61
F:c0891d475a49,M,Fritz Lang,1931,60,60
F:b5749f03606c,Andrei Rublev,Andrei Tarkovsky,1966,60,60
F:069cda2e3235,La dolce vita,Federico Fellini,1960,59,59
F:03b3065dc545,The Piano,Jane Campion,1992,58,58
F:f53416daf440,Rear Window,Alfred Hitchcock,1954,58,58
F:176166e412b4,North by Northwest,Alfred Hitchcock,1959,57,57
F:10e86670da04,Fear Eats the Soul,Rainer Werner Fassbinder,1974,57,57
F:8fe1bdde11ef,Le Mépris,Jean-Luc Godard,1963,57,57
F:15bcedf51ef8,Wanda,Barbara Loden,1970,57,57
F:0565ff7fd56c,Killer of Sheep,Charles Burnett,1977,57,57
F:a9519db91181,News from Home,Chantal Akerman,1976,55,55
F:4434c6705bd6,Blade Runner,Ridley Scott,1982,55,55
F:4a7fa7be8c87,La Jetée,Chris Marker,1962,55,55
F:95bd800bd9e5,Battleship Potemkin,Sergei M. Eisenstein,1925,53,53
F:c78c6b97f980,A Woman under the Influence,John Cassavetes,1974,53,53
F:8fc32725b37f,Sans Soleil,Chris Marker,1982,53,53
F:15298623ef1f,L'avventura,Michelangelo Antonioni,1960,52,52
F:16913ba1d831,Moonlight,Barry Jenkins,2016,51,51
F:f71879711b8f,The Godfather Part II,Francis Ford Coppola,1974,52,51
F:ed913192d169,The Apartment,Billy Wilder,1960,50,50
F:c22c42cd69b9,Touki Bouki,Djibril Diop Mambéty,1973,49,49
F:03809811ea9b,Sherlock Jr.,Buster Keaton,1924,49,49
F:0a600f29226c,The Red Shoes,"Michael Powell, Emeric Pressburger",1948,48,48
F:114ae73dd3a7,Sátántangó,Béla Tarr,1994,46,46
F:8b4b310f435e,Sunset Blvd.,Billy Wilder,1950,46,46
F:bd648fce3b3f,Raging Bull,Martin Scorsese,1980,46,46
F:665eab0ab9d1,Modern Times,Charles Chaplin,1936,46,46
F:32f33617395c,Daughters of the Dust,Julie Dash,1991,46,46
F:aa65b1eedc05,A Brighter Summer Day,Edward Yang,1991,45,45
F:feaa04ac1109,A Man Escaped,Robert Bresson,1956,45,45
F:e9e268170b35,The Third Man,Carol Reed,1949,45,45
F:dd03c7ae8bd4,Vagabond,Agnès Varda,1985,44,44
F:11f597068baf,Blue Velvet,David Lynch,1986,44,44
