canonical_id,title,author,orig_year,publication_year,description,source_flag,n_voters
OL:OL20867W,Middlemarch,George Eliot,1871,1872,"In the provincial English town of Middlemarch, the idealistic Dorothea Brooke marries the dry scholar Edward Casaubon while the ambitious young doctor Tertius Lydgate sinks into debt and a difficult marriage, their lives crossing amid the politics and gossip of the community. A long Victorian novel known for its psychological realism and interlocking provincial portraits.",Wikipedia,83
OL:OL267096W,Anna Karenina,Leo Tolstoy,1877,1877,"In imperial Russia, the married Anna Karenina abandons her husband and son for an affair with the officer Count Vronsky, while the landowner Konstantin Levin courts Kitty and searches for meaning on his estate. Known for its realism and its parallel treatment of love, marriage, and Russian society.",Wikipedia,60
OL:OL86318W,Ulysses,James Joyce,1914,1922,"Leopold Bloom wanders through Dublin over the course of a single day, June 16, 1904, crossing paths with the young Stephen Dedalus as his wife Molly waits at home. Known for its stream-of-consciousness technique and its parallels to Homer's Odyssey.",Wikipedia,58
OL:OL19350876W,Madame Bovary,Gustave Flaubert,1857,1857,"In provincial Normandy, the doctor's wife Emma Bovary, bored by her marriage to the dull Charles, pursues affairs and luxuries on credit until her debts overwhelm her. Known for its realism and the obscenity trial that followed its serialization.",Wikipedia,52
OL:OL50548W,Beloved,Toni Morrison,1987,1987,"In Ohio after the Civil War, the former slave Sethe lives in a house haunted by the daughter she killed to keep her from being returned to slavery, until a young woman calling herself Beloved arrives. A novel known for its treatment of slavery and memory, and winner of the Pulitzer Prize.",Wikipedia,52
OL:OL34381078W,The Great Gatsby,F. Scott Fitzgerald,1925,1925,"On Long Island in the 1920s, the mysterious millionaire Jay Gatsby throws lavish parties in pursuit of his lost love Daisy Buchanan, watched by his neighbor and narrator Nick Carraway. Known for its portrait of the Jazz Age and the American Dream.",Wikipedia,49
OL:OL1190289W,In Search of Lost Time,Marcel Proust,,1913–1927,"The narrator recalls his life in French high society, from childhood in Combray to love affairs and salons in Paris, his memories triggered by sensations like the taste of a madeleine. A seven-volume novel known for its length and its exploration of involuntary memory.",Wikipedia,47
OL:OL39396W,To the Lighthouse,Virginia Woolf,1927,1927,"The Ramsay family and their guests gather at a summer house on the Isle of Skye, where a planned trip to a nearby lighthouse is delayed for years across the span of the novel. Known for its stream-of-consciousness narration and shifting points of view.",Wikipedia,46
OL:OL267171W,War and Peace,Leo Tolstoy,1869,1869,"Aristocratic families including the Bezukhovs, Bolkonskys, and Rostovs live through Russia's wars against Napoleon, as Pierre, Andrei, and Natasha search for meaning amid invasion and society. A long novel known for blending domestic drama with the history of the 1812 French invasion.",Wikipedia,45
OL:OL102749W,Moby-Dick,Herman Melville,1851,1851,"Aboard the whaling ship Pequod, the sailor Ishmael joins Captain Ahab's obsessive hunt for the white whale that bit off his leg, as the voyage drives toward disaster. Known for its digressions on whaling and its symbolic ambition.",Wikipedia,42
OL:OL274505W,One Hundred Years of Solitude,Gabriel García Márquez,1967,1967,"In the founded town of Macondo, seven generations of the Buendía family live through love, war, and repetition, marked by prophecies and strange occurrences. A novel known for its magical realism and its allegory of Latin American history.",Wikipedia,38
OL:OL1095427W,Jane Eyre,Charlotte Brontë,1847,1847,"Orphaned and mistreated, Jane Eyre grows up to become governess at Thornfield Hall, where she falls in love with her employer Mr. Rochester and discovers the secret he keeps locked upstairs. Known for its first-person narration and its blend of romance and Gothic elements.",Wikipedia,37
OL:OL627084W,Lolita,Vladimir Nabokov,1955,1955,"The middle-aged European Humbert Humbert becomes obsessed with twelve-year-old Dolores Haze, marries her mother to be near her, and takes the girl on a long road trip across America after the mother's death. A novel known for its controversial subject and its elaborate prose.",Wikipedia,36
OL:OL15165350W,Pride and Prejudice,Jane Austen,1710,1813,"In rural England, Elizabeth Bennet, second of five daughters, clashes with the proud, wealthy Mr. Darcy while her family pursues advantageous marriages. Known for its wit and its treatment of class, marriage, and reputation.",Wikipedia,33
OL:OL53908W,Huckleberry Finn,Mark Twain,1884,1884,"Huckleberry Finn fakes his own death and floats down the Mississippi River on a raft with the runaway slave Jim, drifting through encounters with con men and feuding families. Known for its vernacular narration and its treatment of slavery and race.",Wikipedia,30
OL:OL26733889W,Mrs Dalloway,Virginia Woolf,1925,1925,"In London on a single day, Clarissa Dalloway prepares for an evening party while the shell-shocked veteran Septimus Smith spirals toward suicide across the city. Known for its stream-of-consciousness narration and its compression of time into one day.",Wikipedia,30
OL:OL190034W,Emma,Jane Austen,1815,1815,"In the village of Highbury, the wealthy and clever Emma Woodhouse meddles in the romances of those around her, mismatching couples while remaining blind to her own feelings for Mr. Knightley. A comic novel known for its handling of self-deception and social misjudgment.",Wikipedia,29
OL:OL32013322W,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1759,1767,"Tristram Shandy sets out to tell the story of his own life but is constantly sidetracked by digressions, leaving his birth and family, including his father Walter and Uncle Toby, the real subject. A comic novel known for its digressive structure and typographic experiments.",Wikipedia,28
OL:OL40756300W,Persuasion,Jane Austen,1817,1817,"Years after being persuaded to reject the naval officer Frederick Wentworth, Anne Elliot encounters him again, now wealthy, as her vain father's debts force the family to economize. A novel known for its mature romance and its restrained, ironic tone.",Wikipedia,26
OL:OL14868508W,Bleak House,Charles Dickens,1853,1853,"The interminable lawsuit Jarndyce and Jarndyce drags through the Court of Chancery as Esther Summerson, Lady Dedlock, and a wide cast become entangled in its mysteries and the secrets of Esther's birth. A novel known for its satire of the English legal system and its dual narration.",Wikipedia,26
OL:OL276365W,The Portrait of a Lady,Henry James,1881,1881,"The independent young American Isabel Archer inherits a fortune and travels through Europe, rejecting suitors before marrying the cold dilettante Gilbert Osmond and learning the truth about his motives. Known for its psychological portraiture and its study of a woman's choices.",Wikipedia,25
OL:OL44222301W,Don Quixote,Miguel de Cervantes,,1615,"The aging Alonso Quijano of La Mancha reads so many chivalric romances that he names himself Don Quixote, recruits the peasant Sancho Panza as his squire, and rides out tilting at windmills he takes for giants. Often called the first modern novel and known for its satire of chivalric romance.",Wikipedia,25
OL:OL8721462W,Great Expectations,Charles Dickens,1861,1861,"The orphan Pip, raised by his sister in the Kent marshes, receives a fortune from an unknown benefactor and moves to London to become a gentleman, pining for the cold Estella. A novel known for its first-person narration and its theme of social ambition.",Wikipedia,23
OL:OL21170W,Wuthering Heights,Emily Brontë,1847,1847,"On the Yorkshire moors, the foundling Heathcliff and Catherine Earnshaw form a destructive bond that, after her marriage to another, drives Heathcliff to revenge across two generations of two families. Known for its frame narration and its bleak, passionate intensity.",Wikipedia,22
