flag_id,flag_type,raw_titles,raw_years,raw_directors,row_count,notes
DV-F:5e55d15a0567,DIRECTOR_VARIANT,Bound,1996,"Lana Wachowski, Lilly Wachowski | Lana and Lilly Wachowski",2,2 director spellings
DV-F:8509b531b601,DIRECTOR_VARIANT,Dog Star Man,1964,Stan Brakhage | stan Brackage,5,2 director spellings
DV-F:09a914de09e9,DIRECTOR_VARIANT,Fuses,1967,Carolee Scheemann | Carolee Schneemann,8,2 director spellings
DV-F:933ec9beaa5b,DIRECTOR_VARIANT,Speed Racer,2008,"Lana Wachowski and Lilly Wachowski | Lana Wachowski, Lilly Wachowski | Lilly Wachowski, Lana Wachowski | The Wachowski Sisters | The Wachowskis",6,5 director spellings
DV-F:a581deb99bff,DIRECTOR_VARIANT,The Decalogue,1989,Krzysztof  Kieslowski | Krzysztof Kieślowski,2,2 director spellings
DV-F:f92de5796e6e,DIRECTOR_VARIANT,The Consequences of Feminism,1906,Alice Guy Blaché | Alice Guy-Blaché,2,2 director spellings
DV-F:c3389fe02bf0,DIRECTOR_VARIANT,Bukchon Banghyang (The Day He Arrived),2011,Hong Sangsoo | Hong songsoo,4,2 director spellings
DV-F:f00e3c45dd9d,DIRECTOR_VARIANT,Twin Peaks: The Return,2017,David Lynch | David Lynch and Mark Frost,14,2 director spellings
DV-F:4326441d5975,DIRECTOR_VARIANT,Salesman,1969,"Albert Maysles, David Maysles, Charlotte Zwerin | Albert and David Maysles and Charlotte Zwerin",4,2 director spellings
DV-F:8b59f9e5c592,DIRECTOR_VARIANT,All the President's Men,1976,Alan J Pakula | Alan J. Pakula,11,2 director spellings
DV-F:5bf728a15019,DIRECTOR_VARIANT,The Vampires of Poverty (Agarrando Pueblo),1977,Carlos Mayolo and Luis Ospina | Luis Ospina & Carlos Mayolo,2,2 director spellings
DV-F:e4d2292715f0,DIRECTOR_VARIANT,House of Hummingbird,2018,Bora Kim | Kim Bora,2,2 director spellings
DV-F:c377da635a16,DIRECTOR_VARIANT,The Body Remembers When the World Broke Open,2019,"Elle-Máijá Tailfeathers and Kathleen Hepburn | Kathleen Hepburn, Elle-Máijá Tailfeathers",3,2 director spellings
DV-F:5317f9778b06,DIRECTOR_VARIANT,Café Lumière,2003,Hou Hsaio-hsien | Hou Hsiao-hsien,3,2 director spellings
DV-F:a8504c4c8cb8,DIRECTOR_VARIANT,Femmes Femmes,1974,Paul Vecchiali | Paul Vecchialli,4,2 director spellings
DV-F:f6ad56cca563,DIRECTOR_VARIANT,Decalogue,1988,Krzystof Kieslowski | Krzysztof Kieslowski,2,2 director spellings
DV-F:f8aceea338d4,DIRECTOR_VARIANT,The Woolworths Choir of 1979,2012,Elisabeth Price | Elizabeth Price,2,2 director spellings
DV-F:569be7b19926,DIRECTOR_VARIANT,Reassemblage,1982,Trinh T Minh-ha | Trinh T. Minh-ha,5,2 director spellings
DV-F:4e7bd8e303f8,DIRECTOR_VARIANT,Hat Wolff von Amerongen Konkursdelikte begangen?,2004,Gerhard Benedikt Friedl | Gerhard Friedl,2,2 director spellings
DV-F:858143f278b6,DIRECTOR_VARIANT,"Naked Spaces, Living is Round",1985,Trinh T Minh-ha | Trinh T. Minh-ha,2,2 director spellings
DV-F:780ddc442fac,DIRECTOR_VARIANT,Dekalog (decalogue),1988,Krzystzof Kieslowski | Krzysztof Kieślowski,2,2 director spellings
DV-F:bd1eddc31e6d,DIRECTOR_VARIANT,YING XIONG (Hero),2002,Zhang  Yimou | Zhang Yimou,2,2 director spellings
DV-F:0916add2163e,DIRECTOR_VARIANT,Anna,1975,"Alberto Grifi & Massimo Sarchielli | Alberto Grifi and Massimo Sarchielli | Alberto Grifi, Massimo Sarchielli",3,3 director spellings
DV-F:d1d7e10932c7,DIRECTOR_VARIANT,"Nuestra Voz de Tierra, Memoria y Futuro",1981,Marta Rodriguez and Jorge Silva | Marta Rodríguez & Jorge Silva,2,2 director spellings
DV-F:8e9147c99c70,DIRECTOR_VARIANT,Stars in Broad Daylight,1987,Ossama Mohammed | Oussama Mohammad,2,2 director spellings
DV-F:901ab8f3201b,DIRECTOR_VARIANT,Other Men's Women,1931,William A. Wellman | William Wellman,3,2 director spellings
DV-F:90b6388d5c80,DIRECTOR_VARIANT,L'homme Atlantique,1981,Marguerite Duras | Margueritte Duras,2,2 director spellings
DV-F:cce8972d95be,DIRECTOR_VARIANT,Maya Bazaar,1957,K.V. Reddy | Kadiri Venkata Reddy,2,2 director spellings
DV-F:1c5418a3c1af,DIRECTOR_VARIANT,Freeze Die Come to Life,1990,Vitali Kanevsky | Vitaly Kanevsky,2,2 director spellings
PY-165,YEAR_ERROR,Gangs of Wasseypur,Anurag Kashyap,2012,1,Tentatively assigned to F:68833666b0ff (2012). Confirm.
NY-1498,BLANK_YEAR,Le film est deja commence?,,Maurice Lemaître,1,No valid-year cluster exists for this title. Unresolved.
NY-2878,BLANK_YEAR,Berlin Alexanderplatz,,,1,No valid-year cluster exists for this title. Unresolved.
NY-2936,YEAR_AMBIGUOUS,Looking for Mushrooms,1959–67/1996,Bruce Conner,1,No valid-year cluster exists for this title. Unresolved.
NY-3399,YEAR_AMBIGUOUS,The Bill Douglas Trilogy,"1972, 1973, 1978",Bill Douglas,1,No valid-year cluster exists for this title. Unresolved.
AR-3770,BLANK_YEAR+AMBIGUOUS_YEAR_REMAKE,The Decalogue,,Krzysztof Kieślowski,1,Title matches 2 distinct films. Human must assign.
NY-3835,BLANK_YEAR,Berlin Alexanderplatz,,,1,No valid-year cluster exists for this title. Unresolved.
