row_id,source,voter_name,position,book_title,book_author,year,openLibraryId,canonical_id,canonical_title
d3dbba609ee5981b,Top Ten Books,A.L. Kennedy,1,The Confidence-Man: His Masquerade,Herman Melville,1857,,K:cc83b0188ed4,The Confidence-Man: His Masquerade
673ae1316217ba0d,Top Ten Books,A.L. Kennedy,2,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,,OL:OL24156W,Dr. Jekyll and Mr. Hyde
8030d79707ee0c7b,Top Ten Books,A.L. Kennedy,3,The Third Policeman,Flann O'Brien,,,OL:OL2005223W,The Third Policeman
55efed900b71d349,Top Ten Books,A.L. Kennedy,4,The Prime of Miss Jean Brodie,Muriel Spark,1961,,OL:OL26437W,The Prime of Miss Jean Brodie
f476e5467af326eb,Top Ten Books,A.L. Kennedy,5,Tristram Shandy,Laurence Sterne,1759-67,,K:b36e75fbcafd,Tristram Shandy
aad11a01a1fa389d,Top Ten Books,A.L. Kennedy,6,Lanark: A Life in Four Books,Alasdair Gray,1981,,OL:OL2466637W,Lanark
96a5182139c17ad8,Top Ten Books,A.L. Kennedy,7,The Book of Evidence,John Banville,1989,,K:d47d8cd099f0,The Book of Evidence
5be4914d3f8f5287,Top Ten Books,A.L. Kennedy,8,The Lost Father,Mona Simpson,1992,,K:8a9c82a087df,The Lost Father
73ee983e260e9df4,Top Ten Books,A.L. Kennedy,9,Sergeant Getulio,João Ubaldo Ribeiro,1971,,K:ffa3f721b881,Sergeant Getulio
b44e8a03dce0abeb,Top Ten Books,A.L. Kennedy,10,Closely Watched Trains,Bohumil Hrabal,1965,,K:1a0c06d3d2a9,Closely Watched Trains
1dfa4983cddffcef,Top Ten Books,Caroline Leavitt,1,Olive Kitteridge,Elizabeth Strout,2008,,K:d5233d03a440,Olive Kitteridge
07561da50d7aa11b,Top Ten Books,Caroline Leavitt,2,Edwin Mullhouse : The Life and Death of an American Writer 1943-1954 by Jeffrey Cartwright,Steven Millhauser,1972,,K:3514747cc632,Edwin Mullhouse : The Life and Death of an American Writer 1943-1954 by Jeffrey Cartwright
53819c43bbc52b29,Top Ten Books,Caroline Leavitt,3,The Easter Parade,Richard Yates,1976,,OL:OL9362446W,The Easter Parade
f5d2b9d0801a3015,Top Ten Books,Caroline Leavitt,4,Wide Sargasso Sea,Jean Rhys,1966,,OL:OL1858668W,Wide Sargasso Sea
7f2d0dbabf9ee2dc,Top Ten Books,Caroline Leavitt,5,Jane Eyre,Charlotte Bronte,1847,,OL:OL1095427W,Jane Eyre
122dd399bb2d6276,Top Ten Books,Caroline Leavitt,6,Anywhere but Here,Mona Simpson,1986,,K:4887539c2e6c,Anywhere but Here
d5f68c203f67c2ed,Top Ten Books,Caroline Leavitt,7,Save Me the Waltz,Zelda Fitzgerald,1934,,K:8af4cd2c59d0,Save Me the Waltz
c5eca15689e70c11,Top Ten Books,Caroline Leavitt,8,The Great Gatsby,F. Scott Fitzgerald,1925,,OL:OL34381078W,The Great Gatsby
a3f76e622f0039d4,Top Ten Books,Caroline Leavitt,9,The World According to Garp,John Irving,1978,,K:79ce80bb8360,The World According to Garp
d01fa7ebec2bb8d1,Top Ten Books,Caroline Leavitt,10,Wuthering Heights,Emily Bronte,1847,,OL:OL21170W,Wuthering Heights
387b9d430794211d,Top Ten Books,David Means,1,The Brothers Karamazov,Fyodor Dostoevsky,1880,,OL:OL10432709W,The Brothers Karamazov
b3f8096bbeabdf9e,Top Ten Books,David Means,2,Independent People,Halldór Laxness,1934,,K:ab9b9cd974ed,Independent People
7bb8c2e5e10d11eb,Top Ten Books,David Means,3,A Sportsman's Notebook,Ivan Turgenev,1852,,K:7caeae871bb0,A Sportsman's Notebook
023ed1276502c9f0,Top Ten Books,David Means,4,Stories of Anton Chekhov,,1860-1904,,K:6b584d1b9428,Stories of Anton Chekhov
851ba953e1b11702,Top Ten Books,David Means,5,The Trial,Franz Kafka,1925,,OL:OL498463W,The Trial
231fc21b1ea731ac,Top Ten Books,David Means,6,The Sound and the Fury,William Faulkner,1929,,OL:OL82870W,The Sound and the Fury
c4653ab65d1730ac,Top Ten Books,David Means,7,Dubliners,James Joyce,1916,,K:04ef5684be62,Dubliners
4bdf2731e9235775,Top Ten Books,David Means,8,In Search of Lost Time,Marcel Proust,1913-27,,OL:OL1190289W,In Search of Lost Time
699b2d8905dc0211,Top Ten Books,David Means,9,Ulysses,James Joyce,1922,,OL:OL86318W,Ulysses
da23701c06419f79,Top Ten Books,David Means,10,A Personal Matter,Kenzaburo Oë,1969,,K:fc982ab632c4,A Personal Matter
c51e941af15ef8c6,Top Ten Books,G.D. Gearino,1,Candide,Voltaire,1759,,K:3e4c8a960300,Candide
82bf93de1bb8f233,Top Ten Books,G.D. Gearino,2,Henry V,William Shakespeare,1599,,K:0b5a2838b308,Henry V
b5945f62fc3fdbcf,Top Ten Books,G.D. Gearino,3,The Sound and the Fury,William Faulkner,1929,,OL:OL82870W,The Sound and the Fury
ddf8bf0d571d5b4f,Top Ten Books,G.D. Gearino,4,The Heart Is a Lonely Hunter,Carson McCullers,1940,,OL:OL11081469W,The Heart Is a Lonely Hunter
4a50fe43f8edabae,Top Ten Books,G.D. Gearino,5,East of Eden,John Steinbeck,1952,,OL:OL23166W,East of Eden
e82b747381672275,Top Ten Books,G.D. Gearino,6,Hombre,Elmore Leonard,1961,,K:f0a6ce516e75,Hombre
c5d79ccf2a159b84,Top Ten Books,G.D. Gearino,7,Oryx and Crake,Margaret Atwood,2003,,K:dc15508e1ca2,Oryx and Crake
65b1ff7c2405ad1b,Top Ten Books,G.D. Gearino,8,Montana 1948,Larry Watson,1993,,K:d27ac1dd1b67,Montana 1948
f1c91716bf9bb2b7,Top Ten Books,G.D. Gearino,9,Rabbit Angstrom,John Updike,,,K:b9e39aa2c2ee,Rabbit Angstrom
77a8b59f6406942c,Top Ten Books,G.D. Gearino,9,"Rabbit, Run",John Updike,1960,,OL:OL42718662W,"Rabbit, Run"
07e74d29766b2bc4,Top Ten Books,G.D. Gearino,9,Rabbit Redux,John Updike,1971,,K:5fcc86b529ea,Rabbit Redux
bec7af1a8a394564,Top Ten Books,G.D. Gearino,9,Rabbit Is Rich,John Updike,1981,,OL:OL463820W,Rabbit Is Rich
c7c9f5047d117471,Top Ten Books,G.D. Gearino,9,Rabbit at Rest,John Updike,1990,,OL:OL463809W,Rabbit at Rest
873fc6d65ace9f56,Top Ten Books,G.D. Gearino,10,Love in the Time of Cholera,Gabriel García Márquez,1985,,OL:OL274518W,Love in the Time of Cholera
7555622088fa54b0,Top Ten Books,George Pelecanos,1,All the King’s Men,Robert Penn Warren,1946,,K:4d4b9f43727e,All the King's Men
203dd59bbe8ca98a,Top Ten Books,George Pelecanos,2,The Sun Also Rises,Ernest Hemingway,1926,,OL:OL62979W,The Sun Also Rises
4e0934bce74a5fc9,Top Ten Books,George Pelecanos,3,The Grapes of Wrath,John Steinbeck,1939,,OL:OL23205W,The Grapes of Wrath
fd237050c19b0083,Top Ten Books,George Pelecanos,4,Ask the Dust,John Fante,1939,,K:da7daa0a88e4,Ask the Dust
1754044db820acc7,Top Ten Books,George Pelecanos,5,A Fan’s Notes,Frederick Exley,1968,,K:46d79f6e7173,A Fan’s Notes
ec8f92826a2e3403,Top Ten Books,George Pelecanos,6,The Long Goodbye,Raymond Chandler,1953,,K:fa6d27467a77,The Long Goodbye
f62167a602b62286,Top Ten Books,George Pelecanos,7,True Grit,Charles Portis,1968,,K:d36692a00746,True Grit
fbd7c1eba601c0d9,Top Ten Books,George Pelecanos,8,Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,1985,,OL:OL40879W,Blood Meridian
33759fb7f6fe3a4f,Top Ten Books,George Pelecanos,9,Clockers,Richard Price,1992,,K:dd4cd6f4f20e,Clockers
5eb48611d03392b6,Top Ten Books,George Pelecanos,10,The Known World,Edward P. Jones,2003,,OL:OL4112928W,The Known World
767cb13b02041acc,Top Ten Books,Joyce Carol Oates,1,Crime and Punishment,Fyodor Dostoevsky,1866,,OL:OL166894W,Crime and Punishment
747cbc868802291b,Top Ten Books,Joyce Carol Oates,2,Ulysses,James Joyce,1922,,OL:OL86318W,Ulysses
1c1adce526d2cb68,Top Ten Books,Joyce Carol Oates,3,The Sound and the Fury,William Faulkner,1929,,OL:OL82870W,The Sound and the Fury
3bd285db1721fb4b,Top Ten Books,Joyce Carol Oates,4,Poems of Emily Dickinson,,1830-86,,K:6baf284ba2c5,The poems of Emily Dickinson
b1463de197cb4845,Top Ten Books,Joyce Carol Oates,5,Stories of Franz Kafka,,1883-1924,,K:655dc7057956,Stories of Franz Kafka
e74d3200af72c968,Top Ten Books,Joyce Carol Oates,6,The Red and the Black,Stendhal,1830,,OL:OL733640W,The Red and the Black
e448dc4cb833cdb9,Top Ten Books,Joyce Carol Oates,7,The Rainbow,D. H. Lawrence,1915,,OL:OL81293W,The Rainbow
08305511b391d26f,Top Ten Books,Joyce Carol Oates,8,Women in Love,D. H. Lawrence,1920,,OL:OL81294W,Women in Love
1d78b73d33578676,Top Ten Books,Joyce Carol Oates,9,Moby-Dick,Herman Melville,1851,,OL:OL102749W,Moby-Dick
