row_index,voter_name,raw_title,raw_year,raw_director,canonical_id,resolved_year,flag_types
0,Arun A.K.,Gulaal,2009,Anurag Kashyap,F:4a532b6ba092,2009,
1,Arun A.K.,Gangs of Wasseypur,2012,Anurag Kashyap,F:68833666b0ff,2012,
2,Arun A.K.,Anantaram,1987,Adoor Gopalakrishnan,F:5d24502a089c,1987,
3,Arun A.K.,Vidheyan,1993,Adoor Gopalakrishnan,F:ce13c498b74d,1993,
4,Arun A.K.,Trikaal,1986,Shyam Benegal,F:fc902e079512,1986,
5,Arun A.K.,Lost in Translation,2003,Sofia Coppola,F:85945816f94f,2003,
6,Arun A.K.,There Will Be Blood,2007,Paul Thomas Anderson,F:41d225e6ff0b,2007,
7,Arun A.K.,Taxi Driver,1976,Martin Scorsese,F:d472058d559a,1976,
8,Arun A.K.,8 1/2,1963,Federico Fellini,F:83ebc8b43c9d,1963,
9,Arun A.K.,A Clockwork Orange,1971,Stanley Kubrick,F:73ac13372020,1971,
10,Carlos Abascal Peiró,La Règle du jeu,1939,Jean Renoir,F:4178c0f6fbb7,1939,
11,Carlos Abascal Peiró,The Exterminating Angel,1962,Luis Buñuel,F:7e52230dd02d,1962,
12,Carlos Abascal Peiró,North by Northwest,1959,Alfred Hitchcock,F:176166e412b4,1959,
13,Carlos Abascal Peiró,Die Hard,1988,John McTiernan,F:c79c561e7b8b,1988,
14,Carlos Abascal Peiró,The Conformist,1970,Bernardo Bertolucci,F:ed09733fe458,1970,
15,Carlos Abascal Peiró,Terms of Endearment,1983,James L. Brooks,F:8f9296d644c6,1983,
16,Carlos Abascal Peiró,Fanny and Alexander,1982,Ingmar Bergman,F:8703270231ee,1982,
17,Carlos Abascal Peiró,Two Weeks in Another Town,1962,Vincente Minnelli,F:3dd128840cc2,1962,
18,Carlos Abascal Peiró,Hana-Bi,1997,Takeshi Kitano,F:b2a7ef1dc935,1997,
19,Carlos Abascal Peiró,In a Lonely Place,1950,Nicholas Ray,F:7fa585215d06,1950,
20,Ali Abbasi,Mirror,1975,Andrei Tarkovsky,F:29e8c2663329,1975,
21,Ali Abbasi,Close-up,1989,Abbas Kiarostami,F:944ad783759e,1989,
22,Ali Abbasi,A Clockwork Orange,1971,Stanley Kubrick,F:73ac13372020,1971,
23,Ali Abbasi,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,Chantal Akerman,F:83c734e30238,1975,
24,Ali Abbasi,Lost Highway,1996,David Lynch,F:146f1c3fc9b2,1996,
25,Ali Abbasi,The Colour of Pomegranates,1968,Sergei Paradjanov,F:31e3a3512a76,1968,
26,Ali Abbasi,La strada,1954,Federico Fellini,F:6ff93b77cfca,1954,
27,Ali Abbasi,Idioterne,1998,Lars von Trier,F:e507a2715d23,1998,
28,Ali Abbasi,"Salò, or the 120 Days of Sodom",1975,Pier Paolo Pasolini,F:f3a8723d695d,1975,
29,Ali Abbasi,Haji Washington,1998,Ali Hatami,F:f2576cb6533b,1998,
30,Mohammed Hashem Abdel-Salam,Tokyo Story,1953,Yasujirō Ozu,F:9f96298e4d23,1953,
31,Mohammed Hashem Abdel-Salam,2001: A Space Odyssey,1968,Stanley Kubrick,F:b132d89fef53,1968,
32,Mohammed Hashem Abdel-Salam,8 1/2,1963,Federico Fellini,F:83ebc8b43c9d,1963,
33,Mohammed Hashem Abdel-Salam,À bout de souffle,1960,Jean-Luc Godard,F:7b5d85393630,1960,
34,Mohammed Hashem Abdel-Salam,Au hasard Balthazar,1966,Robert Bresson,F:813bde6e3053,1966,
35,Mohammed Hashem Abdel-Salam,Seven Samurai,1954,Akira Kurosawa,F:03774d8054b0,1954,
36,Mohammed Hashem Abdel-Salam,Mulholland Dr.,2001,David Lynch,F:653f45346bcc,2001,
37,Mohammed Hashem Abdel-Salam,Stalker,1979,Andrei Tarkovsky,F:125061f190de,1979,
38,Mohammed Hashem Abdel-Salam,Sátántangó,1994,Béla Tarr,F:114ae73dd3a7,1994,
39,Mohammed Hashem Abdel-Salam,Cries and Whispers,1972,Ingmar Bergman,F:0c208843518d,1972,
40,Mo Abdi,La Règle du jeu,1939,Jean Renoir,F:4178c0f6fbb7,1939,
41,Mo Abdi,Sansho the Bailiff,1954,Kenji Mizoguchi,F:b7dbf64232a8,1954,
42,Mo Abdi,Ordet,1955,Carl Th. Dreyer,F:d8e24aa1ab58,1955,
43,Mo Abdi,Vertigo,1958,Alfred Hitchcock,F:b5a06746734d,1958,
44,Mo Abdi,Le Procès,1962,Orson Welles,F:d7a68fd84711,1962,
45,Mo Abdi,8 1/2,1963,Federico Fellini,F:83ebc8b43c9d,1963,
46,Mo Abdi,Onibaba,1964,Kaneto Shindo,F:ee3b9dd8a7d5,1964,
47,Mo Abdi,Persona,1966,Ingmar Bergman,F:97b42f962368,1966,
48,Mo Abdi,Bin-Jip,2004,Kim Ki-deok,F:9b23ab34b59b,2004,
49,Mo Abdi,Enter the Void,2010,Gaspar Noé,F:03a18fead1c1,2010,
50,Gulnara Abikeyeva,Rashomon,1950,Akira Kurosawa,F:bee09401fa7d,1950,
51,Gulnara Abikeyeva,The Land of Fathers,1966,Shaken Aimanov,F:db77ae3955cc,1966,
52,Gulnara Abikeyeva,Teorema,1968,Pier Paolo Pasolini,F:9ed099161985,1968,
53,Gulnara Abikeyeva,Nebo Nashevo Detstva,1967,Tolomush Okeyev,F:ab0eb0cb9906,1967,
54,Gulnara Abikeyeva,"Bom, Teoreum, Gaeul, Gyeowool, Geurigo, Bom",2003,Kim Ki-deok,F:8a7b215262e4,2003,
55,Gulnara Abikeyeva,Harmony Lessons,2013,Emir Baigazin,F:40fe831895c1,2013,
56,Gulnara Abikeyeva,Beshkempir,1998,Aktan Abdykalykov,F:b8f8d4ab2bf6,1998,
57,Gulnara Abikeyeva,Gabbeh,1996,Mohsen Makhmalbaf,F:ab8f04900cd7,1996,
58,Gulnara Abikeyeva,Inception,2010,Christopher Nolan,F:b59055f29ae4,2010,
59,Gulnara Abikeyeva,Ship of Theseus,2012,Anand Gandhi,F:be7390f0c302,2012,
60,Raphael Abraham,Metropolis,1927,Fritz Lang,F:6b927993e1e1,1927,
61,Raphael Abraham,M,1931,Fritz Lang,F:c0891d475a49,1931,
62,Raphael Abraham,Citizen Kane,1941,Orson Welles,F:bf6387f2c8ae,1941,
63,Raphael Abraham,Rashomon,1950,Akira Kurosawa,F:bee09401fa7d,1950,
64,Raphael Abraham,À bout de souffle,1960,Jean-Luc Godard,F:7b5d85393630,1960,
65,Raphael Abraham,The French Connection,1971,William Friedkin,F:513a2be572a8,1971,
66,Raphael Abraham,Do the Right Thing,1989,Spike Lee,F:d1188b34b03c,1989,
67,Raphael Abraham,GoodFellas,1990,Martin Scorsese,F:59ad7c389a61,1990,
68,Raphael Abraham,Margaret,2008,Kenneth Lonergan,F:c57d23af360b,2008,
69,Raphael Abraham,Toni Erdmann,2016,Maren Ade,F:df99a097e950,2016,
70,Amjad Abu Alala,12 Angry Men,1956,Sidney Lumet,F:a0c4a4e80efe,1956,
71,Amjad Abu Alala,Persona,1966,Ingmar Bergman,F:97b42f962368,1966,
72,Amjad Abu Alala,Mirror,1975,Andrei Tarkovsky,F:29e8c2663329,1975,
73,Amjad Abu Alala,Bab Al-Hadid,1958,Youssef Chahine,F:74b03fbb797f,1958,
74,Amjad Abu Alala,Mia Eoniotita Ke Mia Mera,1998,Theo Angelopoulos,F:831c9cd8d8f7,1998,
75,Amjad Abu Alala,Akira Kurosawa's Dreams,1990,Akira Kurosawa,F:bfe5d9d523ed,1990,
76,Amjad Abu Alala,Taste of Cherry,1997,Abbas Kiarostami,F:3c781cd7cdf8,1997,
77,Amjad Abu Alala,Dancer In The Dark,2000,Lars von Trier,F:ca22974a53b4,2000,
78,Amjad Abu Alala,Krótki Film O Zabijaniu,1987,Krzysztof Kieslowski,F:8d23686057fa,1987,
79,Amjad Abu Alala,A Torinói Ió,2011,Béla Tarr,F:d2c81bee4c02,2011,
80,Inka Achté,The Arbor,2010,Clio Barnard,F:369267b746ad,2010,
81,Inka Achté,Lilja 4-Ever,2002,Lukas Moodysson,F:2742988baa31,2002,
82,Inka Achté,American Honey,2016,Andrea Arnold,F:d270087b657a,2016,
83,Inka Achté,Get Out,2017,Jordan Peele,F:f8abdb2ec9d8,2017,
84,Inka Achté,Kynodontas,2009,Yorgos Lanthimos,F:bf3fb98d59b5,2009,
85,Inka Achté,Festen,1998,Thomas Vinterberg,F:fd1c97f46249,1998,
86,Inka Achté,Under the Skin,2013,Jonathan Glazer,F:6df960d01ebc,2013,
87,Inka Achté,Beau travail,1998,Claire Denis,F:325075869126,1998,
88,Inka Achté,Deliverance,1972,John Boorman,F:956475a4dbc4,1972,
89,Inka Achté,Secrets & Lies,1996,Mike Leigh,F:167dabbadece,1996,
90,Panos Achtsioglou,Vertigo,1958,Alfred Hitchcock,F:b5a06746734d,1958,
91,Panos Achtsioglou,Citizen Kane,1941,Orson Welles,F:bf6387f2c8ae,1941,
92,Panos Achtsioglou,2001: A Space Odyssey,1968,Stanley Kubrick,F:b132d89fef53,1968,
93,Panos Achtsioglou,Battleship Potemkin,1925,Sergei M. Eisenstein,F:95bd800bd9e5,1925,
94,Panos Achtsioglou,Seven Samurai,1954,Akira Kurosawa,F:03774d8054b0,1954,
95,Panos Achtsioglou,Taxi Driver,1976,Martin Scorsese,F:d472058d559a,1976,
96,Panos Achtsioglou,Stalker,1979,Andrei Tarkovsky,F:125061f190de,1979,
97,Panos Achtsioglou,Tokyo Story,1953,Yasujirō Ozu,F:9f96298e4d23,1953,
98,Panos Achtsioglou,Chinatown,1974,Roman Polanski,F:1c8565784f6c,1974,
99,Panos Achtsioglou,8 1/2,1963,Federico Fellini,F:83ebc8b43c9d,1963,
100,Mark Adams,Tokyo Story,1953,Yasujirō Ozu,F:9f96298e4d23,1953,
101,Mark Adams,Citizen Kane,1941,Orson Welles,F:bf6387f2c8ae,1941,
102,Mark Adams,7th Heaven,1927,Frank Borzage,F:058d2051730e,1927,
103,Mark Adams,The Piano,1992,Jane Campion,F:03b3065dc545,1992,
104,Mark Adams,Vertigo,1958,Alfred Hitchcock,F:b5a06746734d,1958,
105,Mark Adams,The Awful Truth,1937,Leo McCarey,F:e499a42520f0,1937,
106,Mark Adams,A Matter of Life and Death,1946,"Michael Powell, Emeric Pressburger",F:b2910882a46d,1946,
107,Mark Adams,In the Mood for Love,2000,Wong Kar Wai,F:08966bbb6c53,2000,
108,Mark Adams,The Band Wagon,1953,Vincente Minnelli,F:bd9efaa29502,1953,
109,Mark Adams,Portrait of a Lady on Fire,2019,Céline Sciamma,F:6744994f98f6,2019,
110,Margit Adorf,Magnolia,1999,Paul Thomas Anderson,F:af3336b803be,1999,
111,Margit Adorf,The Doors,1991,Oliver Stone,F:492dbc30b1a5,1991,
112,Margit Adorf,Interstellar,2014,Christopher Nolan,F:cc654d1a6bab,2014,
113,Margit Adorf,Mad Max: Fury Road,2015,George Miller,F:e4c949fb454a,2015,
114,Margit Adorf,The Shining,1980,Stanley Kubrick,F:6ef9ec2a60f2,1980,
115,Margit Adorf,The Pillow Book,1995,Peter Greenaway,F:cc32d7e75c84,1995,
116,Margit Adorf,Moulin Rouge,2001,Baz Luhrmann,F:414feae8774b,2001,
117,Margit Adorf,Fear and Loathing in Las Vegas,1998,Terry Gilliam,F:91f342e0ee8c,1998,
118,Margit Adorf,The Cell,2000,Tarsem Singh,F:37408340fe58,2000,
119,Margit Adorf,Never Let Me Go,2010,Mark Romanek,F:4d272afb6728,2010,
120,Kaleem Aftab,The Apartment,1960,Billy Wilder,F:ed913192d169,1960,
121,Kaleem Aftab,Bamboozled,2000,Spike Lee,F:d20d0ba20070,2000,
122,Kaleem Aftab,La Haine,1995,Mathieu Kassovitz,F:002dd21bef36,1995,
123,Kaleem Aftab,Get Out,2017,Jordan Peele,F:f8abdb2ec9d8,2017,
124,Kaleem Aftab,Gegen Die Wand,2003,Fatih Akin,F:4c5dc849b88b,2003,
125,Kaleem Aftab,Mandabi,1968,Ousmane Sembène,F:ca241fd9482a,1968,
126,Kaleem Aftab,Pretty in Pink,1986,Howard Deutch,F:39e3a940a1e3,1986,
127,Kaleem Aftab,Wajib,2017,Annemarie Jacir,F:b7f6d007c6cb,2017,
128,Kaleem Aftab,Zabriskie Point,1970,Michelangelo Antonioni,F:22a39aaa9252,1970,
129,Kaleem Aftab,No,2012,Pablo Larraín,F:a489217c73f6,2012,
130,Manish Agarwal,Chungking Express,1994,Wong Kar Wai,F:2b8f2194d907,1994,
