voter_name,canonical_id,sources,positions,voter_types
A.L. Kennedy,K:1a0c06d3d2a9,Top Ten Books,10,
A.L. Kennedy,K:8a9c82a087df,Top Ten Books,8,
A.L. Kennedy,K:cc83b0188ed4,Top Ten Books,1,
A.L. Kennedy,K:d47d8cd099f0,Top Ten Books,7,
A.L. Kennedy,K:ffa3f721b881,Top Ten Books,9,
A.L. Kennedy,OL:OL2005223W,Top Ten Books,3,
A.L. Kennedy,OL:OL24156W,Top Ten Books,2,
A.L. Kennedy,OL:OL2466637W,Top Ten Books,6,
A.L. Kennedy,OL:OL26437W,Top Ten Books,4,
A.L. Kennedy,OL:OL32013322W,Top Ten Books,5,
A.M. Homes,K:23ded9392b69,Top Ten Books,8,
A.M. Homes,K:2f9cd8e7abef,Top Ten Books,2,
A.M. Homes,K:47e0fe1f5575,Top Ten Books,1,
A.M. Homes,K:4fa2340b7789,Top Ten Books,3,
A.M. Homes,K:ad9ddab46bc3,Top Ten Books,4,
A.M. Homes,K:ae686b9f3f5e,Top Ten Books,1,
A.M. Homes,K:dd6318e3c408,Top Ten Books,5,
A.M. Homes,K:eec2f45b4e0a,Top Ten Books,7,
A.M. Homes,OL:OL1326348W,Top Ten Books,6,
A.M. Homes,OL:OL166894W,Top Ten Books,9,
A.M. Homes,OL:OL627084W,Top Ten Books,10,
Adam Braver,K:2484db8decc1,Top Ten Books,8,
Adam Braver,K:252d8e6a371c,Top Ten Books,10,
Adam Braver,K:5610cd9f092e,Top Ten Books,4,
Adam Braver,K:62b0567b695e,Top Ten Books,5,
Adam Braver,K:6b584d1b9428,Top Ten Books,7,
Adam Braver,K:a7d082925dfc,Top Ten Books,2,
Adam Braver,K:bd7c5b4ada3f,Top Ten Books,3,
Adam Braver,K:da7daa0a88e4,Top Ten Books,6,
Adam Braver,OL:OL3335245W,Top Ten Books,9,
Adam Braver,OL:OL8972751W,Top Ten Books,1,
Adam Haslett,K:7d6f4598f836,Top Ten Books,2,
Adam Haslett,K:8ea95c8da16e,Top Ten Books,9,
Adam Haslett,K:bc4aa7549271,Top Ten Books,1,
Adam Haslett,K:d2d9f9b0f145,Top Ten Books,4,
Adam Haslett,K:efb5a50a426d,Top Ten Books,10,
Adam Haslett,OL:OL102749W,Top Ten Books,8,
Adam Haslett,OL:OL1190289W,Top Ten Books,5,
Adam Haslett,OL:OL20867W,Top Ten Books,6,
Adam Haslett,OL:OL267171W,Top Ten Books,3,
Adam Haslett,OL:OL757983W,Top Ten Books,7,
Adam Roberts,OL:OL14868508W,Guardian Top 100,6,Author
Adam Roberts,OL:OL166496W,Guardian Top 100,10,Author
Adam Roberts,OL:OL20867W,Guardian Top 100,2,Author
Adam Roberts,OL:OL27448W,Guardian Top 100,1,Author
Adam Roberts,OL:OL44820011W,Guardian Top 100,5,Author
Adam Roberts,OL:OL50548W,Guardian Top 100,9,Author
Adam Roberts,OL:OL52114W,Guardian Top 100,8,Author
Adam Roberts,OL:OL59794W,Guardian Top 100,4,Author
Adam Roberts,OL:OL863735W,Guardian Top 100,7,Author
Adam Roberts,OL:OL891786W,Guardian Top 100,3,Author
Adam Thirlwell,OL:OL1184871W,Guardian Top 100,10,Author
Adam Thirlwell,OL:OL1190289W,Guardian Top 100,2,Author
Adam Thirlwell,OL:OL1330246W,Guardian Top 100,3,Author
Adam Thirlwell,OL:OL1715276W,Guardian Top 100,9,Author
Adam Thirlwell,OL:OL267171W,Guardian Top 100,1,Author
Adam Thirlwell,OL:OL32013322W,Guardian Top 100,4,Author
Adam Thirlwell,OL:OL37277W,Guardian Top 100,8,Author
Adam Thirlwell,OL:OL39360W,Guardian Top 100,5,Author
Adam Thirlwell,OL:OL498463W,Guardian Top 100,7,Author
Adam Thirlwell,OL:OL847902W,Guardian Top 100,6,Author
Adriana Trigiani,K:338726f56a1d,Top Ten Books,3,
Adriana Trigiani,K:424e6fcde8db,Top Ten Books,10,
Adriana Trigiani,K:5ffdad6601d4,Top Ten Books,5,
Adriana Trigiani,K:76ef59a89b06,Top Ten Books,7,
Adriana Trigiani,K:b874087092e5,Top Ten Books,6,
Adriana Trigiani,K:f9197dea01cf,Top Ten Books,1,
Adriana Trigiani,OL:OL1095427W,Top Ten Books,2,
Adriana Trigiani,OL:OL15165350W,Top Ten Books,8,
Adriana Trigiani,OL:OL483391W,Top Ten Books,4,
Ahdaf Soueif,OL:OL15165350W,Guardian Top 100,7,Author/Journalist
Ahdaf Soueif,OL:OL16821748W,Guardian Top 100,5,Author/Journalist
Ahdaf Soueif,OL:OL20867W,Guardian Top 100,1,Author/Journalist
Ahdaf Soueif,OL:OL2386322W,Guardian Top 100,3,Author/Journalist
Ahdaf Soueif,OL:OL267096W,Guardian Top 100,2,Author/Journalist
Ahdaf Soueif,OL:OL274505W,Guardian Top 100,10,Author/Journalist
Ahdaf Soueif,OL:OL3335245W,Guardian Top 100,8,Author/Journalist
Ahdaf Soueif,OL:OL41597565W,Guardian Top 100,4,Author/Journalist
Ahdaf Soueif,OL:OL63072W,Guardian Top 100,9,Author/Journalist
Ahdaf Soueif,OL:OL8721462W,Guardian Top 100,6,Author/Journalist
Aida Edemariam,OL:OL103113W,Guardian Top 100,10,Author/Journalist
Aida Edemariam,OL:OL1184856W,Guardian Top 100,9,Author/Journalist
Aida Edemariam,OL:OL190034W,Guardian Top 100,4,Author/Journalist
Aida Edemariam,OL:OL2047674W,Guardian Top 100,3,Author/Journalist
Aida Edemariam,OL:OL20867W,Guardian Top 100,1,Author/Journalist
Aida Edemariam,OL:OL228720W,Guardian Top 100,7,Author/Journalist
Aida Edemariam,OL:OL26733889W,Guardian Top 100,6,Author/Journalist
Aida Edemariam,OL:OL34381078W,Guardian Top 100,2,Author/Journalist
Aida Edemariam,OL:OL50548W,Guardian Top 100,5,Author/Journalist
