voter_name,canonical_id,role,position
Arun A.K.,F:4a532b6ba092,critic,4
Arun A.K.,F:68833666b0ff,critic,5
Arun A.K.,F:5d24502a089c,critic,2
Arun A.K.,F:ce13c498b74d,critic,3
Arun A.K.,F:fc902e079512,critic,1
Arun A.K.,F:85945816f94f,critic,6
Arun A.K.,F:41d225e6ff0b,critic,8
Arun A.K.,F:d472058d559a,critic,9
Arun A.K.,F:83ebc8b43c9d,critic,10
Arun A.K.,F:73ac13372020,critic,7
Carlos Abascal Peiró,F:4178c0f6fbb7,director,10
Carlos Abascal Peiró,F:7e52230dd02d,director,6
Carlos Abascal Peiró,F:176166e412b4,director,9
Carlos Abascal Peiró,F:c79c561e7b8b,director,4
Carlos Abascal Peiró,F:ed09733fe458,director,7
Carlos Abascal Peiró,F:8f9296d644c6,director,2
Carlos Abascal Peiró,F:8703270231ee,director,8
Carlos Abascal Peiró,F:3dd128840cc2,director,1
Carlos Abascal Peiró,F:b2a7ef1dc935,director,3
Carlos Abascal Peiró,F:7fa585215d06,director,5
Ali Abbasi,F:29e8c2663329,director,8
Ali Abbasi,F:944ad783759e,director,9
Ali Abbasi,F:73ac13372020,director,5
Ali Abbasi,F:83c734e30238,director,10
Ali Abbasi,F:146f1c3fc9b2,director,3
Ali Abbasi,F:31e3a3512a76,director,7
Ali Abbasi,F:6ff93b77cfca,director,6
Ali Abbasi,F:e507a2715d23,director,2
Ali Abbasi,F:f3a8723d695d,director,4
Ali Abbasi,F:f2576cb6533b,director,1
Mohammed Hashem Abdel-Salam,F:9f96298e4d23,critic,9
Mohammed Hashem Abdel-Salam,F:b132d89fef53,critic,10
Mohammed Hashem Abdel-Salam,F:83ebc8b43c9d,critic,6
Mohammed Hashem Abdel-Salam,F:7b5d85393630,critic,4
Mohammed Hashem Abdel-Salam,F:813bde6e3053,critic,5
Mohammed Hashem Abdel-Salam,F:03774d8054b0,critic,7
Mohammed Hashem Abdel-Salam,F:653f45346bcc,critic,8
Mohammed Hashem Abdel-Salam,F:125061f190de,critic,3
Mohammed Hashem Abdel-Salam,F:114ae73dd3a7,critic,2
Mohammed Hashem Abdel-Salam,F:0c208843518d,critic,1
Mo Abdi,F:4178c0f6fbb7,critic,8
Mo Abdi,F:b7dbf64232a8,critic,5
Mo Abdi,F:d8e24aa1ab58,critic,6
Mo Abdi,F:b5a06746734d,critic,10
Mo Abdi,F:d7a68fd84711,critic,2
Mo Abdi,F:83ebc8b43c9d,critic,7
Mo Abdi,F:ee3b9dd8a7d5,critic,4
Mo Abdi,F:97b42f962368,critic,9
Mo Abdi,F:9b23ab34b59b,critic,1
Mo Abdi,F:03a18fead1c1,critic,3
Gulnara Abikeyeva,F:bee09401fa7d,critic,10
Gulnara Abikeyeva,F:db77ae3955cc,critic,1
Gulnara Abikeyeva,F:9ed099161985,critic,9
Gulnara Abikeyeva,F:ab0eb0cb9906,critic,2
Gulnara Abikeyeva,F:8a7b215262e4,critic,8
Gulnara Abikeyeva,F:40fe831895c1,critic,4
Gulnara Abikeyeva,F:b8f8d4ab2bf6,critic,6
Gulnara Abikeyeva,F:ab8f04900cd7,critic,5
Gulnara Abikeyeva,F:b59055f29ae4,critic,7
Gulnara Abikeyeva,F:be7390f0c302,critic,3
Raphael Abraham,F:6b927993e1e1,critic,4
Raphael Abraham,F:c0891d475a49,critic,5
Raphael Abraham,F:bf6387f2c8ae,critic,10
Raphael Abraham,F:bee09401fa7d,critic,7
Raphael Abraham,F:7b5d85393630,critic,8
Raphael Abraham,F:513a2be572a8,critic,1
Raphael Abraham,F:d1188b34b03c,critic,9
Raphael Abraham,F:59ad7c389a61,critic,6
Raphael Abraham,F:c57d23af360b,critic,2
Raphael Abraham,F:df99a097e950,critic,3
Amjad Abu Alala,F:a0c4a4e80efe,director,5
Amjad Abu Alala,F:97b42f962368,director,10
Amjad Abu Alala,F:29e8c2663329,director,9
Amjad Abu Alala,F:74b03fbb797f,director,6
Amjad Abu Alala,F:831c9cd8d8f7,director,1
Amjad Abu Alala,F:bfe5d9d523ed,director,4
Amjad Abu Alala,F:3c781cd7cdf8,director,8
Amjad Abu Alala,F:ca22974a53b4,director,2
Amjad Abu Alala,F:8d23686057fa,director,3
Amjad Abu Alala,F:d2c81bee4c02,director,7
Inka Achté,F:369267b746ad,critic,4
Inka Achté,F:2742988baa31,critic,1
Inka Achté,F:d270087b657a,critic,6
Inka Achté,F:f8abdb2ec9d8,critic,9
Inka Achté,F:bf3fb98d59b5,critic,3
Inka Achté,F:fd1c97f46249,critic,5
Inka Achté,F:6df960d01ebc,critic,8
Inka Achté,F:325075869126,critic,10
Inka Achté,F:956475a4dbc4,critic,2
Inka Achté,F:167dabbadece,critic,7
Panos Achtsioglou,F:b5a06746734d,critic,10
Panos Achtsioglou,F:bf6387f2c8ae,critic,9
Panos Achtsioglou,F:b132d89fef53,critic,8
Panos Achtsioglou,F:95bd800bd9e5,critic,2
Panos Achtsioglou,F:03774d8054b0,critic,6
Panos Achtsioglou,F:d472058d559a,critic,4
Panos Achtsioglou,F:125061f190de,critic,3
Panos Achtsioglou,F:9f96298e4d23,critic,7
Panos Achtsioglou,F:1c8565784f6c,critic,1
Panos Achtsioglou,F:83ebc8b43c9d,critic,5
Mark Adams,F:9f96298e4d23,critic,8
Mark Adams,F:bf6387f2c8ae,critic,9
Mark Adams,F:058d2051730e,critic,1
Mark Adams,F:03b3065dc545,critic,5
Mark Adams,F:b5a06746734d,critic,10
Mark Adams,F:e499a42520f0,critic,2
Mark Adams,F:b2910882a46d,critic,4
Mark Adams,F:08966bbb6c53,critic,7
Mark Adams,F:bd9efaa29502,critic,3
Mark Adams,F:6744994f98f6,critic,6
Margit Adorf,F:af3336b803be,critic,9
Margit Adorf,F:492dbc30b1a5,critic,1
Margit Adorf,F:cc654d1a6bab,critic,7
Margit Adorf,F:e4c949fb454a,critic,8
Margit Adorf,F:6ef9ec2a60f2,critic,10
Margit Adorf,F:cc32d7e75c84,critic,5
Margit Adorf,F:414feae8774b,critic,6
Margit Adorf,F:91f342e0ee8c,critic,2
Margit Adorf,F:37408340fe58,critic,3
Margit Adorf,F:4d272afb6728,critic,4
Kaleem Aftab,F:ed913192d169,critic,10
Kaleem Aftab,F:d20d0ba20070,critic,4
Kaleem Aftab,F:002dd21bef36,critic,8
Kaleem Aftab,F:f8abdb2ec9d8,critic,9
Kaleem Aftab,F:4c5dc849b88b,critic,6
Kaleem Aftab,F:ca241fd9482a,critic,7
Kaleem Aftab,F:39e3a940a1e3,critic,1
Kaleem Aftab,F:b7f6d007c6cb,critic,3
Kaleem Aftab,F:22a39aaa9252,critic,5
Kaleem Aftab,F:a489217c73f6,critic,2
Manish Agarwal,F:2b8f2194d907,critic,6
Manish Agarwal,F:b0ababe3b667,critic,2
Manish Agarwal,F:d1188b34b03c,critic,9
Manish Agarwal,F:03b3065dc545,critic,8
Manish Agarwal,F:fbac63dcd9cf,critic,7
Manish Agarwal,F:79e927c6fa34,critic,3
Manish Agarwal,F:57a1bf06a3b8,critic,5
Manish Agarwal,F:a178dcbc5c71,critic,1
Manish Agarwal,F:17fcc038144d,critic,4
Carlos Aguilar,F:a6afdeba50a0,critic,1
Carlos Aguilar,F:2320d0b9141c,critic,8
Carlos Aguilar,F:cd4f0bc1f59f,critic,2
Carlos Aguilar,F:b534c87e235d,critic,4
Carlos Aguilar,F:c4ccc94704de,critic,3
Carlos Aguilar,F:fbac63dcd9cf,critic,9
Carlos Aguilar,F:e24ef98e5c4b,critic,6
Carlos Aguilar,F:7af3bfecc2a8,critic,7
Carlos Aguilar,F:36b3bcc77b0c,critic,5
Carlos Aguilar,F:6744994f98f6,critic,10
Khadar Ayderus Ahmed,F:5f9daceb0454,director,6
Khadar Ayderus Ahmed,F:b40f633c9f6e,director,2
Khadar Ayderus Ahmed,F:08966bbb6c53,director,10
Khadar Ayderus Ahmed,F:efb0b3c4281e,director,5
Khadar Ayderus Ahmed,F:16913ba1d831,director,8
Khadar Ayderus Ahmed,F:d7295c214f87,director,1
Khadar Ayderus Ahmed,F:750dd0c76ac0,director,4
Khadar Ayderus Ahmed,F:d1188b34b03c,director,9
Khadar Ayderus Ahmed,F:f58915ed95d4,director,7
Khadar Ayderus Ahmed,F:e805a7556a1d,director,3
Omar Ahmed,F:b81ddc038404,critic,9
Omar Ahmed,F:9e103f641ac9,critic,10
Omar Ahmed,F:9973641ae25e,critic,1
Omar Ahmed,F:593fbbab1bb0,critic,8
Omar Ahmed,F:bfdd52aff163,critic,4
Omar Ahmed,F:ece11069f372,critic,5
Omar Ahmed,F:68833666b0ff,critic,7
Omar Ahmed,F:56af172af41b,critic,3
Omar Ahmed,F:f4f7108c9045,critic,2
Omar Ahmed,F:9fb492d42a50,critic,6
Oris Aigbokhaevbolo,F:bf6387f2c8ae,critic,10
Oris Aigbokhaevbolo,F:ed913192d169,critic,7
Oris Aigbokhaevbolo,F:b7d2e3d83208,critic,3
Oris Aigbokhaevbolo,F:e2bff7956338,critic,9
Oris Aigbokhaevbolo,F:6fa1e8389139,critic,2
Oris Aigbokhaevbolo,F:41d225e6ff0b,critic,4
Oris Aigbokhaevbolo,F:8b4b310f435e,critic,5
Oris Aigbokhaevbolo,F:bee09401fa7d,critic,8
Oris Aigbokhaevbolo,F:bd648fce3b3f,critic,6
Oris Aigbokhaevbolo,F:28f9532eaa8a,critic,1
Karim Aïnouz,F:10e86670da04,director,9
Karim Aïnouz,F:008495919c65,director,6
Karim Aïnouz,F:076854ed976a,director,1
Karim Aïnouz,F:4266847ae72e,director,2
Karim Aïnouz,F:34cf774aeffe,director,5
Karim Aïnouz,F:a9519db91181,director,8
Karim Aïnouz,F:c9a62b53f643,director,4
Karim Aïnouz,F:c78c6b97f980,director,7
Karim Aïnouz,F:02ded6e20b97,director,10
Karim Aïnouz,F:1bc5acc7eba9,director,3
Ian Aitken,F:b5a06746734d,critic,10
Ian Aitken,F:4178c0f6fbb7,critic,7
Ian Aitken,F:95bd800bd9e5,critic,2
Ian Aitken,F:9f96298e4d23,critic,9
Ian Aitken,F:c0891d475a49,critic,3
Ian Aitken,F:e2bff7956338,critic,8
Ian Aitken,F:d117472f572e,critic,5
Ian Aitken,F:03774d8054b0,critic,6
Ian Aitken,F:bee09401fa7d,critic,4
Ian Aitken,F:242bcffbc89a,critic,1
Daisuke Akasaka,F:c5102a15cb40,critic,2
Daisuke Akasaka,F:0a781a482623,critic,7
Daisuke Akasaka,F:0fabeae822b4,critic,5
Daisuke Akasaka,F:53bf7c9b2295,critic,6
Daisuke Akasaka,F:fa67bac04dc2,critic,3
Daisuke Akasaka,F:e160353f8b27,critic,4
Daisuke Akasaka,F:042e604b03c9,critic,1
Daisuke Akasaka,F:6c6d0bc5ce49,critic,9
Daisuke Akasaka,F:2ec8e3a6b8aa,critic,10
Daisuke Akasaka,F:25344d9e0b31,critic,8
Mania Akbari,F:2b5543b4c339,director,4
Mania Akbari,F:087f773c406b,director,6
Mania Akbari,F:8fc32725b37f,director,9
Mania Akbari,F:cb689f3e2a97,director,10
Mania Akbari,F:0d1fd8db8fb0,director,8
Mania Akbari,F:221a46a574d6,director,7
Mania Akbari,F:654010b7ed96,director,2
Mania Akbari,F:76cf726e11ce,director,5
Mania Akbari,F:4f02ee963f27,director,1
Mania Akbari,F:cb84c6ad2cd5,director,3
Desiree Akhavan,F:e24ef98e5c4b,director,8
Desiree Akhavan,F:9dcda2fe3a7e,director,3
Desiree Akhavan,F:1961bdb691aa,director,9
Desiree Akhavan,F:1838ee94a228,director,2
Desiree Akhavan,F:27bb3657eaff,director,4
Desiree Akhavan,F:10e86670da04,director,10
Desiree Akhavan,F:74c5f4d1395f,director,5
Desiree Akhavan,F:65393b2ac77a,director,7
Desiree Akhavan,F:e4227f57ad92,director,6
Desiree Akhavan,F:d805611540e6,director,1
Isra Al Kassi,F:c1e955770d31,critic,2
Isra Al Kassi,F:57a1bf06a3b8,critic,9
Isra Al Kassi,F:bd7bfe5f9667,critic,1
Isra Al Kassi,F:f8ab762e9652,critic,5
Isra Al Kassi,F:c520dfb264f7,critic,4
Isra Al Kassi,F:03774d8054b0,critic,10
Isra Al Kassi,F:4c5dc849b88b,critic,8
Isra Al Kassi,F:04242e34e9b2,critic,7
Isra Al Kassi,F:ffdb9349f92c,critic,3
Isra Al Kassi,F:ff575e494ec5,critic,6
Antoneta Alamat Kusijanović,F:325075869126,director,9
Antoneta Alamat Kusijanović,F:fb1858f30417,director,4
Antoneta Alamat Kusijanović,F:a9268c8f563c,director,2
Antoneta Alamat Kusijanović,F:03b3065dc545,director,8
Antoneta Alamat Kusijanović,F:4434c6705bd6,director,7
Antoneta Alamat Kusijanović,F:c78c6b97f980,director,6
Antoneta Alamat Kusijanović,F:de151d330568,director,3
Antoneta Alamat Kusijanović,F:9daa251a7795,director,5
Antoneta Alamat Kusijanović,F:08966bbb6c53,director,10
Antoneta Alamat Kusijanović,F:1174da45c280,director,1
Antti Alanen,F:6b99fd08dcc8,critic,1
Antti Alanen,F:69f5bed6f836,critic,10
Antti Alanen,F:7dacc043e524,critic,9
Antti Alanen,F:122fb2de00e8,critic,6
Antti Alanen,F:aeb0786beba4,critic,3
Antti Alanen,F:d8be33a7aa37,critic,8
Antti Alanen,F:2b5543b4c339,critic,2
Antti Alanen,F:9113deb430d0,critic,7
Antti Alanen,F:99525f6dd03f,critic,5
Antti Alanen,F:59e546399154,critic,4
Sy Alassane,F:c22c42cd69b9,director,8
Sy Alassane,F:9b0ae697053e,director,5
Sy Alassane,F:a9e6b3878b45,director,6
Sy Alassane,F:29be497f95ce,director,7
Sy Alassane,F:747708787a3f,director,4
Sy Alassane,F:15e746d63958,director,1
Sy Alassane,F:ab6377087725,director,3
Sy Alassane,F:59ad7c389a61,director,9
Sy Alassane,F:1df1420813b7,director,2
Saleem Albeik,F:97b42f962368,critic,7
Saleem Albeik,F:15298623ef1f,critic,2
Saleem Albeik,F:9f96298e4d23,critic,9
Saleem Albeik,F:69f5bed6f836,critic,8
Saleem Albeik,F:edfb01f5a9d6,critic,5
Saleem Albeik,F:83ebc8b43c9d,critic,6
Saleem Albeik,F:bf6387f2c8ae,critic,10
Saleem Albeik,F:95bd800bd9e5,critic,3
Saleem Albeik,F:8fe1bdde11ef,critic,4
Saleem Albeik,F:25c92cc36090,critic,1
Rommy Albers,F:bf6387f2c8ae,critic,9
Rommy Albers,F:b132d89fef53,critic,8
Rommy Albers,F:6ff93b77cfca,critic,5
Rommy Albers,F:03774d8054b0,critic,7
Rommy Albers,F:6a2cf6c39785,critic,4
Rommy Albers,F:c0891d475a49,critic,6
Rommy Albers,F:b5a06746734d,critic,10
Rommy Albers,F:d40068f45bd3,critic,1
Rommy Albers,F:ecd874fca144,critic,3
Rommy Albers,F:e70b97ffada6,critic,2
Marcelo Alderete,F:391303f33124,critic,3
Marcelo Alderete,F:15bcedf51ef8,critic,9
Marcelo Alderete,F:d63f22c37e98,critic,6
Marcelo Alderete,F:a7fb4794b496,critic,5
Marcelo Alderete,F:7a7c0ff849d4,critic,8
Marcelo Alderete,F:dd6224a2afb8,critic,2
Marcelo Alderete,F:78187c278ed3,critic,1
Marcelo Alderete,F:090832505b0f,critic,10
Marcelo Alderete,F:01f13a3870f3,critic,4
Marcelo Alderete,F:87ddccd7c29d,critic,7
Neta Alexander,F:665eab0ab9d1,critic,7
Neta Alexander,F:69f5bed6f836,critic,8
Neta Alexander,F:83c734e30238,critic,10
Neta Alexander,F:1ec59921ffd0,critic,4
Neta Alexander,F:b132d89fef53,critic,9
Neta Alexander,F:dfc3ec48e6dd,critic,2
Neta Alexander,F:df99a097e950,critic,5
Neta Alexander,F:c7207be8bc73,critic,1
Neta Alexander,F:41912772ddcd,critic,6
Neta Alexander,F:3d57bbc1680d,critic,3
Francisco Algarín Navarro,F:1f0ca375af6b,critic,3
Francisco Algarín Navarro,F:c0c04fa29ecf,critic,5
Francisco Algarín Navarro,F:6ccdefca0b58,critic,7
Francisco Algarín Navarro,F:68e1f9f01713,critic,1
Francisco Algarín Navarro,F:db6b94d35e6f,critic,4
Francisco Algarín Navarro,F:498eeb20c2a6,critic,9
Francisco Algarín Navarro,F:5a4af43e909a,critic,2
Francisco Algarín Navarro,F:6469c41806aa,critic,6
Francisco Algarín Navarro,F:ab12d0c9c355,critic,8
Jonathan Ali,F:a064dc2569b9,critic,4
Jonathan Ali,F:e147c7e3e29c,critic,7
Jonathan Ali,F:55ad4fb0baae,critic,9
Jonathan Ali,F:83c734e30238,critic,10
Jonathan Ali,F:5e201ce6e4d7,critic,5
Jonathan Ali,F:f9b6370c1fc2,critic,6
Jonathan Ali,F:3a0961a7d16c,critic,3
Jonathan Ali,F:2b7e39190eaa,critic,2
Jonathan Ali,F:ab3814660fc0,critic,1
Jonathan Ali,F:b7b17347ab6a,critic,8
Mubarak Ali,F:4e2bc3c14baa,critic,5
Mubarak Ali,F:7a7c0ff849d4,critic,6
Mubarak Ali,F:83c734e30238,critic,10
Mubarak Ali,F:0565ff7fd56c,critic,8
Mubarak Ali,F:7cdcf0b32a06,critic,9
Mubarak Ali,F:47aed005507a,critic,3
Mubarak Ali,F:f487433720d3,critic,7
Mubarak Ali,F:015ca6b0fd67,critic,1
Mubarak Ali,F:3ed8fcd3c75c,critic,2
Mubarak Ali,F:09874e3f5d06,critic,4
Sitora Alieva,F:b132d89fef53,critic,10
Sitora Alieva,F:5931e44a9fad,critic,3
Sitora Alieva,F:29e8c2663329,critic,9
Sitora Alieva,F:d472058d559a,critic,8
Sitora Alieva,F:9daa251a7795,critic,6
Sitora Alieva,F:1f696ff5de67,critic,4
Sitora Alieva,F:1174da45c280,critic,2
Sitora Alieva,F:6bd726b305a8,critic,5
Sitora Alieva,F:b0360159539e,critic,7
Sitora Alieva,F:dd508c3a270d,critic,1
Khalik Allah,F:bfcbebab5dec,director,2
Khalik Allah,F:5086f9152aaf,director,6
Khalik Allah,F:17921fa670f1,director,1
Khalik Allah,F:8a7b215262e4,director,8
Khalik Allah,F:f4b3aaca24c7,director,10
Khalik Allah,F:d6e0f91da95c,director,5
Khalik Allah,F:18febe4125b6,director,9
Khalik Allah,F:5f021aa369d3,director,7
Khalik Allah,F:e731e612e618,director,3
Khalik Allah,F:36807722640e,director,4
Sandra Alland,F:e7ffac0861c7,critic,4
Sandra Alland,F:77c66df4e8e1,critic,2
Sandra Alland,F:7a86f6bfe4b7,critic,8
Sandra Alland,F:ab87aa838d6d,critic,7
Sandra Alland,F:42f24d671f9a,critic,1
Sandra Alland,F:cf622d49687f,critic,6
Sandra Alland,F:5e55d15a0567,critic,5
Sandra Alland,F:92dbbd1bb00b,critic,9
Sandra Alland,F:6e443948b1d8,critic,3
Sandra Alland,F:ab0f17904050,critic,10
Julien Allen,F:813bde6e3053,critic,9
Julien Allen,F:5c226aa5de90,critic,6
Julien Allen,F:85023f1ca7a0,critic,1
Julien Allen,F:66f271e27785,critic,3
Julien Allen,F:4418a62420bf,critic,5
Julien Allen,F:76f8cccf860c,critic,8
Julien Allen,F:d2e4f5e8f98d,critic,7
Julien Allen,F:f88fe6fb9a21,critic,2
Julien Allen,F:e4e5d0b8b474,critic,10
Julien Allen,F:82871fa40fd5,critic,4
Thomas Allenbach,F:bf6387f2c8ae,critic,8
Thomas Allenbach,F:e2bff7956338,critic,7
Thomas Allenbach,F:83c734e30238,critic,10
Thomas Allenbach,F:0565ff7fd56c,critic,4
Thomas Allenbach,F:8fe1bdde11ef,critic,3
