canonical_id,year
K:009fc9ee2b85,1951
K:0bbe1409ea00,1836
K:10471e0b18f2,1950
K:1142c6098f6d,pre-Renaissance
K:1a7a36a0d16e,1920
K:3217b8f0ad67,1970
K:3370e18f51ca,1995
K:450eb07e587b,pre-Renaissance
K:5ea8a38b90a2,1966
K:77a9e9d519f7,pre-Renaissance
K:8f7a8603bc7a,pre-Renaissance
K:98c8438f910d,pre-Renaissance
K:a452f45af6bc,1812
K:a66bfb050c76,pre-Renaissance
K:c70aa81a21ba,pre-Renaissance
K:cd83dfc92563,pre-Renaissance
K:d20e64b8c042,1596
K:d2e22cdb10e6,1785
K:d6a7af191ac4,pre-Renaissance
K:daa94665cde4,pre-Renaissance
K:de8ae851971a,pre-Renaissance
K:e0e175903a2c,pre-Renaissance
K:e3054b98467a,1881
K:ee34a6c50dbf,pre-Renaissance
OL:OL1150725W,1747
OL:OL1190289W,1913
OL:OL1330246W,1930
OL:OL2074162W,1951
OL:OL20933W,1874
OL:OL24598751W,pre-Renaissance
OL:OL2564006W,pre-Renaissance
OL:OL27448W,1954
OL:OL41368739W,1864
OL:OL44222301W,1605
OL:OL668682W,1943
OL:OL7180368W,1351
OL:OL8662242W,1849
