canonical_id,title,author,source_olids,raw_year,gap_reason,year
K:26a310599722,Essays,Michel de Montaigne,,1533-92,lifespan-range: 1533-92 (span 59yr),
K:194791ccb5ba,Sonnets,William Shakespeare,,1564-1616,lifespan-range: 1564-1616 (span 52yr),
K:4c91ce3a8a63,Works of William Shakespeare,William Shakespeare,,1564-1616,lifespan-range: 1564-1616 (span 52yr),
K:30ead11b9ea3,Plays of Molière,Molière,,1622-73,lifespan-range: 1622-73 (span 51yr),
K:7218170b4f39,The haiku of Matsuo Basho,,,1644-1694,lifespan-range: 1644-1694 (span 50yr),
K:e64e736a51a8,The Book of Love: Poems of Ecstasy and Longing,Rumi,,1707-1273,lifespan-range: 1707-1273 (span 434yr),
K:0ed1a323eb37,The Marquise of O— and Other Stories,Heinrich von Kleist,,1777-1811,lifespan-range: 1777-1811 (span 34yr),
K:3dc75f99b576,Stories of Nathaniel Hawthorne,Nathaniel Hawthorne,,1804-64,lifespan-range: 1804-64 (span 60yr),
K:6baf284ba2c5,Poems of Emily Dickinson,Emily Dickinson,,1830-86,lifespan-range: 1830-86 (span 56yr),
K:bbf3fa01dd65,Leaves of Grass,Walt Whitman,,1855-91,lifespan-range: 1855-91 (span 36yr),
K:7d841d955f13,Gusev,Anton Chekhov,,1860-1904,lifespan-range: 1860-1904 (span 44yr),
K:6b584d1b9428,Stories of Anton Chekhov,Anton Chekhov,,1860-1904,lifespan-range: 1860-1904 (span 44yr),
K:ecda3b6d23cc,My Life and Other Stories,Anton Chekhov,,1860-1906,lifespan-range: 1860-1906 (span 46yr),
K:2eac8d90cd3c,Masquerade and Other Stories,Robert Walser,,1878-1956,lifespan-range: 1878-1956 (span 78yr),
K:655dc7057956,Stories of Franz Kafka,Franz Kafka,,1883-1924,lifespan-range: 1883-1924 (span 41yr),
K:43a7a41f5606,The Complete Poems of Anna Ahkmatova,Anna Ahkmatova,,1889-1966,lifespan-range: 1889-1966 (span 77yr),
K:ef3be8623dfc,Stories of Isaac Babel,Isaac Babel,,1894-1940,lifespan-range: 1894-1940 (span 46yr),
K:2ecba695b7ae,Stories of Ernest Hemingway,Ernest Hemingway,,1899-1961,lifespan-range: 1899-1961 (span 62yr),
K:051a111d303b,Collected Stories of Elizabeth Bowen,Elizabeth Bowen,,1899-1973,lifespan-range: 1899-1973 (span 74yr),
K:524993036073,The Maigret series of detective novels,Georges Simenon,,1903-89,lifespan-range: 1903-89 (span 86yr),
K:86720a12eae7,Stories of Eudora Welty,Eudora Welty,,1909-2001,lifespan-range: 1909-2001 (span 92yr),
K:ca1e830c3408,Collected Poems of Elizabeth Bishop,Elizabeth Bishop,,1911-79,lifespan-range: 1911-79 (span 68yr),
K:a63cc765d5fe,Stories of John Cheever,John Cheever,,1912-82,lifespan-range: 1912-82 (span 70yr),
K:f8d2878ae6e1,The Complete Aubrey/Maturin Novels,Patrick O'Brian,,1914-2000,lifespan-range: 1914-2000 (span 86yr),
K:0a09f6895a0f,The Lottery and Other Stories,Shirley Jackson,,1916-65,lifespan-range: 1916-65 (span 49yr),
K:252d8e6a371c,Stories of Carson McCullers,Carson McCullers,,1917-67,lifespan-range: 1917-67 (span 50yr),
K:3b04f3eef439,Stories of Flannery O'Connor,Flannery O’Connor,,1925-64,lifespan-range: 1925-64 (span 39yr),
K:906ffc5082cd,Stories of Alice Munro,Alice Munro,,1931-2024,lifespan-range: 1931-2024 (span 93yr),
K:3c196dac60d1,The stories of Andre Dubus,Andre Dubus,,1936-99,lifespan-range: 1936-99 (span 63yr),
K:a7d082925dfc,Stories of Raymond Carver,Raymond Carver,,1938-88,lifespan-range: 1938-88 (span 50yr),
OL:OL712025W,2666,Roberto Bolaño,OL712025W,,truly-blank,
OL:OL119209W,A Boy's Own Story,Edmund White,OL119209W,,truly-blank,
OL:OL4212427W,A Compass Error,Sybille Bedford,OL4212427W,,truly-blank,
OL:OL55221W,A Flag for Sunrise,Robert Stone,OL55221W,,truly-blank,
OL:OL20494708W,A Girl Is a Half-Formed Thing,Eimear McBride,OL20494708W,,truly-blank,
OL:OL118276W,A Guest of Honour,Nadine Gordimer,OL118276W,,truly-blank,
OL:OL863837W,A Kestrel for a Knave,Barry Hines,OL863837W,,truly-blank,
OL:OL17370186W,A Little Life,Hanya Yanagihara,OL17370186W,,truly-blank,
OL:OL1916914W,A Long Way Down,Nick Hornby,OL1916914W,,truly-blank,
OL:OL8911551W,A Mind at Peace,Ahmet Hamdi Tanpınar,OL8911551W,,truly-blank,
OL:OL751418W,A Model Childhood,Christa Wolf,OL751418W,,truly-blank,
OL:OL112983W,A Month in the Country,JL Carr,OL112983W;OL8336367W,,truly-blank,
OL:OL1937850W,A New Life,Bernard Malamud,OL1937850W,,truly-blank,
OL:OL464517W,A Place of Greater Safety,Hilary Mantel,OL464517W,,truly-blank,
OL:OL2527681W,A Question of Power,Bessie Head,OL2527681W,,truly-blank,
OL:OL954635W,A River Called Time,Mia Couto,OL954635W,,truly-blank,
OL:OL39379W,A Room of One's Own,Virginia Woolf,OL39379W,,truly-blank,
OL:OL41597565W,A Sentimental Journey,Laurence Sterne,OL41597565W,,truly-blank,
OL:OL5782000W,A Thousand Splendid Suns,Khaled Hosseini,OL5782000W,,truly-blank,
OL:OL21016756W,A Void,Georges Perec,OL21016756W,,truly-blank,
OL:OL59798W,A Wizard of Earthsea,Ursula K. Le Guin,OL59798W,,truly-blank,
K:96f5809e4069,Aesop's Fables,,,,truly-blank,
OL:OL3827330W,After Midnight,Irmgard Keun,OL3827330W,,truly-blank,
OL:OL27820956W,After Sappho,Selby Wynn Schwartz,OL27820956W,,truly-blank,
OL:OL21678662W,Afterlives,Abdulrazak Gurnah,OL21678662W,,truly-blank,
OL:OL63250W,All About H. Hatterr,G. V. Desani,OL63250W,,truly-blank,
OL:OL1449782W,All Our Yesterdays,Natalia Ginzburg,OL1449782W,,truly-blank,
OL:OL16672348W,All That Is,James Salter,OL16672348W,,truly-blank,
OL:OL17658187W,All the Names,José Saramago,OL17658187W,,truly-blank,
OL:OL661946W,Allah Is Not Obliged,Ahmadou Kourouma,OL661946W,,truly-blank,
OL:OL1812933W,American Psycho,Bret Easton Ellis,OL1812933W,,truly-blank,
OL:OL553752W,American Tabloid,James Ellroy,OL553752W,,truly-blank,
OL:OL16805415W,Americanah,Chimamanda Ngozi Adichie,OL16805415W,,truly-blank,
OL:OL3846785W,Amongst Women,John McGahern,OL3846785W,,truly-blank,
OL:OL471565W,And Then There Were None,Agatha Christie,OL471565W,,truly-blank,
OL:OL2435538W,Angel,Elizabeth Taylor,OL2435538W,,truly-blank,
OL:OL1168007W,Animal Farm,George Orwell,OL1168007W,,truly-blank,
OL:OL77746W,Anne of Green Gables,Lucy Maud Montgomery,OL77746W,,truly-blank,
OL:OL891814W,Arrow of God,Chinua Achebe,OL891814W,,truly-blank,
OL:OL2883788W,Arturo's Island,Elsa Morante,OL2883788W,,truly-blank,
OL:OL25687457W,Aubrey-Maturin Series,Patrick O'Brian,OL25687457W,,truly-blank,
