source,voter_name,position,book_title,book_author,year,source_url,voter_type,overall_rank,openLibraryId
Top Ten Books,A.L. Kennedy,1,The Confidence-Man: His Masquerade,Herman Melville,1857,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,A.L. Kennedy,2,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,A.L. Kennedy,3,The Third Policeman,Flann O'Brien,,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,A.L. Kennedy,4,The Prime of Miss Jean Brodie,Muriel Spark,1961,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,A.L. Kennedy,5,Tristram Shandy,Laurence Sterne,1759-67,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,A.L. Kennedy,6,Lanark: A Life in Four Books,Alasdair Gray,1981,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,A.L. Kennedy,7,The Book of Evidence,John Banville,1989,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,A.L. Kennedy,8,The Lost Father,Mona Simpson,1992,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,A.L. Kennedy,9,Sergeant Getulio,João Ubaldo Ribeiro,1971,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,A.L. Kennedy,10,Closely Watched Trains,Bohumil Hrabal,1965,https://www.toptenbooks.net/A-L-Kennedy,,,
Top Ten Books,Caroline Leavitt,1,Olive Kitteridge,Elizabeth Strout,2008,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,Caroline Leavitt,2,Edwin Mullhouse : The Life and Death of an American Writer 1943-1954 by Jeffrey Cartwright,Steven Millhauser,1972,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,Caroline Leavitt,3,The Easter Parade,Richard Yates,1976,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,Caroline Leavitt,4,Wide Sargasso Sea,Jean Rhys,1966,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,Caroline Leavitt,5,Jane Eyre,Charlotte Bronte,1847,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,Caroline Leavitt,6,Anywhere but Here,Mona Simpson,1986,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,Caroline Leavitt,7,Save Me the Waltz,Zelda Fitzgerald,1934,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,Caroline Leavitt,8,The Great Gatsby,F. Scott Fitzgerald,1925,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,Caroline Leavitt,9,The World According to Garp,John Irving,1978,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,Caroline Leavitt,10,Wuthering Heights,Emily Bronte,1847,https://www.toptenbooks.net/Carolyn-Leavitt,,,
Top Ten Books,David Means,1,The Brothers Karamazov,Fyodor Dostoevsky,1880,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,David Means,2,Independent People,Halldór Laxness,1934,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,David Means,3,A Sportsman's Notebook,Ivan Turgenev,1852,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,David Means,4,Stories of Anton Chekhov,,1860-1904,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,David Means,5,The Trial,Franz Kafka,1925,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,David Means,6,The Sound and the Fury,William Faulkner,1929,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,David Means,7,Dubliners,James Joyce,1916,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,David Means,8,In Search of Lost Time,Marcel Proust,1913-27,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,David Means,9,Ulysses,James Joyce,1922,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,David Means,10,A Personal Matter,Kenzaburo Oë,1969,https://www.toptenbooks.net/David-Means,,,
Top Ten Books,G.D. Gearino,1,Candide,Voltaire,1759,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,2,Henry V,William Shakespeare,1599,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,3,The Sound and the Fury,William Faulkner,1929,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,4,The Heart Is a Lonely Hunter,Carson McCullers,1940,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,5,East of Eden,John Steinbeck,1952,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,6,Hombre,Elmore Leonard,1961,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,7,Oryx and Crake,Margaret Atwood,2003,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,8,Montana 1948,Larry Watson,1993,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,9,Rabbit Angstrom,John Updike,,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,9,"Rabbit, Run",John Updike,1960,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,9,Rabbit Redux,John Updike,1971,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,9,Rabbit Is Rich,John Updike,1981,https://www.toptenbooks.net/G-D-Gearino,,,
Top Ten Books,G.D. Gearino,9,Rabbit at Rest,John Updike,1990,https://www.toptenbooks.net/G-D-Gearino,,,
