action,source,target,resolved_year,resolved_director,note
merge,F:780ddc442fac,F:99525f6dd03f,,,Dekalog(Decalogue) 1988→1989
merge,F:f6ad56cca563,F:99525f6dd03f,,,Decalogue 1988→Dekalog 1989
merge,F:a581deb99bff,F:99525f6dd03f,,,The Decalogue 1989→Dekalog 1989
merge,F:fbc0a298a55d,F:99525f6dd03f,,,The Decalogue 1988→Dekalog 1989
merge,F:02078981f277,F:f00e3c45dd9d,,,Twin Peaks NBSP 2018→2017
merge,F:c8940e7b5b7b,F:67b0d09fb2d2,,,Superstar Karen 1988→1987
merge,F:b946bcca33e1,F:67b0d09fb2d2,,,Superstar Karen 1989→1987
merge,F:39f07eaab216,F:4326441d5975,,,Salesman 1968→1969
merge,F:9b7509cd61ee,F:effdc0addc4c,,,Perfect Blue 1998→1997
merge,F:cca9dd2d4fe7,F:251cd649f30e,,,Sortie D'Usine 1896→1895
merge,F:0a2d5b8ece22,F:251cd649f30e,,,SORTIE D'USINE subtitle→Sortie d'usine 1895
merge,F:3b4f98332fed,F:ee3f94828883,,,Southland Tales 2005→2006
merge,F:880744029c38,F:e1ad66603213,,,In the Street 1946→1948
merge,F:ea3d3687ca6a,F:a2edba29a3fd,,,Sicilia! 1998→1999
merge,F:576a4ef96d73,F:a2edba29a3fd,,,Sicilia!/Sicily! title variant→Sicilia! 1999
merge,F:18fbc7de3efc,F:73bc2b4ab8ea,,,Invasion 1968→Invasion 1969
merge,F:0baa8d425a5d,F:498eeb20c2a6,,,Notebook 1963→1962
merge,F:a5e277e0822c,F:e917fde84581,,,I Am Somebody 1969→1970
merge,F:264e0315e984,F:d73f1decefd2,,,Kisap Mata 1982→1981
merge,F:9c537db6d392,F:6236062c0bea,,,L. Cohen 2017→2018
merge,F:67b0c6ab536b,F:de8e6242d3f5,,,Peggy and Fred 2015→2016
merge,F:22dcb1a4f2bc,F:12e73f3b1da5,,,Eniaios 1991→1992
merge,F:776be2d987a7,F:b012c8bfaaac,,,La canta 1961→1962
merge,F:4b909e6ecb34,F:5edfe25197ef,,,Images of the World 1988→1989
merge,F:59423d0404bc,F:5bf728a15019,,,Agarrando Pueblo 1977 variant→Vampires 1977
merge,F:0c92f22311f6,F:5bf728a15019,,,Agarrando pueblo 1978→Vampires 1977
merge,F:ac5abb1c3fff,F:5bf728a15019,,,Agarrando pueblo(Vampires) 1978→Vampires 1977
merge,F:675368378cbd,F:e578639824f5,,,Fuego en Castilla 1961→1960
merge,F:4c2d90fee5f1,F:04d1cfe35a66,,,Johnny Flash 1986→1987
merge,F:eb6596b7e115,F:aff1a8e450e3,,,Falling Lessons 1992→1993
merge,F:ccb09af574af,F:4eda2e0a99d2,,,Le Tempestaire 1947→1948
